Event ID,Event Type,Date,Vol_m3,Pick method,fiber,fiber bundle,film,foam,fragment,pellet,sphere,TRWP,Total,Fibers,Non-Fibers,conc_fiber,conc_fiberb,conc_film,conc_foam,conc_frag,conc_pellet,conc_sphere,conc_TRWP,conc_Total,conc_Fiber,conc_NonFiber,Q_rep_cfs,Q_min_cfs,Q_rmax_cfs,Q_rep_cms,Q_min_cms,Q_rmax_cms
BF-1,Low Flow,1/18/21,38.15,Full Pick,77,2,0,9,56,0,0,15,159,79,80,2.018348624,0.05242464,0,0.235910878,1.467889908,0,0,0.393184797,4.167758847,2.070773263,2.096985583,4.91,4.83,5.07,0.139035719,0.136770371,0.143566414
BF-2,Low Flow,2/13/21,105.66,Full Pick,242,3,7,9,204,0,0,24,489,245,244,2.290365323,0.028392959,0.066250237,0.085178876,1.930721181,0,0,0.227143668,4.628052243,2.318758281,2.309293962,6.67,6.67,6.67,0.188873369,0.188873369,0.188873369
BF-3,Low Flow,4/16/21,38.56,Full Pick,147,4,6,14,279,0,0,30,480,151,329,3.812240664,0.10373444,0.15560166,0.363070539,7.235477178,0,0,0.778008299,12.44813278,3.915975104,8.532157676,4,3.52,4.62,0.113267388,0.099675301,0.130823833
BF-4,Low Flow,2/21/22,81.65,Full Pick,165,3,4,3,99,0,0,17,291,168,123,2.020820576,0.036742192,0.04898959,0.036742192,1.212492345,0,0,0.208205756,3.563992652,2.057562768,1.506429884,6.97,6.67,7.25,0.197368424,0.188873369,0.205297141
DF-1,Low Flow,6/21/21,95.95,Full Pick,66,1,4,6,105,0,0,34,216,67,149,0.68785826,0.010422095,0.041688379,0.062532569,1.094319958,0,0,0.354351225,2.251172486,0.698280354,1.552892131,5.16,4.83,5.33,0.146114931,0.136770371,0.150928795
DF-2,Low Flow,7/19/21,63.6,Full Pick,107,3,3,8,151,0,0,19,291,110,181,1.682389937,0.047169811,0.047169811,0.125786164,2.374213836,0,0,0.298742138,4.575471698,1.729559748,2.84591195,3.04,2.95,3.33,0.086083215,0.083534699,0.094295101
DF-3,Low Flow,9/2/21,29.73,Full Pick,80,0,2,1,54,0,0,18,155,80,75,2.690884628,0,0.067272116,0.033636058,1.816347124,0,0,0.605449041,5.213588967,2.690884628,2.522704339,1.94,1.87,2.02,0.054934683,0.052952504,0.057200031
SF-2,Stormflow,1/29/21,1.8,Full Pick + Sub extrapolated,2755,24,7,105,2072,0,0,1170,6133,2779,3354,1530.555556,13.33333333,3.888888889,58.33333333,1151.111111,0,0,650,3407.222222,1543.888889,1863.333333,590,433,748,16.70693973,12.26119475,21.18100156
SF-3,Stormflow,3/3/21,11.08,Full Pick + Sub extrapolated,4633,44,230,112,10339,0,3,211,15572,4677,10895,418.1407942,3.971119134,20.75812274,10.10830325,933.1227437,0,0.270758123,19.0433213,1405.415162,422.1119134,983.3032491,521,445,585,14.75307729,12.60099692,16.5653555
SF-4,Stormflow,3/10/21,4.63,Sub extrapolated,3947,209,686,134,5335,0,2,1877,12190,4156,8034,852.4838013,45.14038877,148.1641469,28.94168467,1152.267819,0,0.431965443,405.399568,2632.829374,897.6241901,1735.205184,771,595,850,21.83228904,16.84852397,24.06931995
SF-5,Stormflow,3/15/21,6.39,Full Pick,94,3,0,1,91,0,0,13,202,97,105,14.71048513,0.469483568,0,0.156494523,14.24100156,0,0,2.034428795,31.61189358,15.1799687,16.43192488,22.73,16.1,51.6,0.643641932,0.455901237,1.461149305
SF-6,Stormflow,3/28/22,16.47,Sub extrapolated,10080,50,450,80,9880,0,0,910,21450,10130,11320,612.0218579,3.035822708,27.32240437,4.857316333,599.8785671,0,0,55.25197328,1302.367942,615.0576806,687.3102611,582,560,620,16.48040495,15.85743432,17.55644514